74,actic,0.0.4|0.0.2.3|0.0.5.1|0.0.2.2|0.0.1|0.0.3|0.0.5|0.0.2.1.1|0.0.2,Steve A Martin,ri_cal
75,action_annotation,"","",""
76,action_auditor,"","",""
77,action_context,0.1.3,Matthew Daubert,""
78,action_controller_observer,"","",""
79,action_event,0.0.1|0.0.2,Warren Konkel,""
80,action_flow,"","",""
81,actionmailer,3.0.0.rc|1.3.3|2.3.5|1.3.1|2.3.3|0.5.0|2.0.4|1.2.1|1.1.5|2.1.1|1.2.3|3.0.4.rc1|2.2.2|3.0.0.beta|2.3.2|0.6.1|2.3.10|3.0.3|2.3.7|1.3.4|2.3.9.pre|2.0.0|0.8.1|1.3.6|1.2.0|1.3.2|1.1.1|2.1.0|2.3.8.pre1|2.3.8|2.0.1|0.8.0|1.1.4|0.4.0|2.3.9|0.7.1|0.3.0|0.9.0|3.0.0.beta4|2.3.4|1.3.5|0.9.1|0.7.0|1.2.4|1.3.0|0.6.0|3.0.2|3.0.0.beta3|2.3.6|2.0.5|2.0.2|1.1.2|3.0.0.beta2|2.2.3|1.2.5|3.0.1|1.2.2|1.1.3|1.0.0|2.1.2|3.0.0.rc2|1.0.1,David Heinemeier Hansson,actionpack
82,ActionMailer-Base-to-use-an-absolute-path-template,"","",""
83,actionmailer_extensions,0.2.0|0.1.0,Peter MacRobert,rspec|rr|yard
84,actionmailer_host_autoset,"","",""
85,actionmailer-ironruby,0.2.0|0.1.0,James Thompson,""
86,actionmailer-javamail,0.1.0,Michael Rykov,hoe|hoe
87,action_mailer_test_mailing,"","",""
88,action_mailer_test_via_smtp,0.1.0|0.2.1,Andi Bade,""
89,action_mailer_tls,"","",""
90,action_mailer_verp,0.2.1|0.1.1|0.0.4,James Golick,rspec|actionmailer
91,actionmailer-with-request,0.1.1,Simone Carletti,""
92,action_messager,0.0.1,James Golick,xmpp4r-simple|json_pure|activesupport
93,actionpack,2.0.0|2.3.9|2.3.6|1.10.2|2.1.1|2.0.4|1.1.0|2.0.2|2.3.4|2.3.7|1.5.0|1.11.2|1.0.1|3.0.0.beta3|1.4.0|3.0.2|3.0.3|0.9.5|1.6.0|1.13.5|1.7.0|1.13.2|1.8.0|1.9.1|1.3.1|1.12.3|3.0.0|1.9.0|1.3.0|1.0.0|1.12.4|1.13.6|1.11.0|3.0.0.beta2|3.0.1|1.13.3|1.12.2|2.1.2|1.12.0|2.0.5|3.0.0.rc|3.0.4.rc1|1.11.1|1.2.0|1.13.1|2.2.3|2.3.10|1.12.5|3.0.0.beta4|2.3.8.pre1|1.12.1|2.3.2|0.9.0|1.13.4|2.2.2|2.1.0|1.8.1|2.0.1|3.0.0.rc2|2.3.8|3.0.0.beta|2.3.5|1.5.1|1.10.1|2.3.9.pre|2.3.3,David Heinemeier Hansson,activesupport|rack
94,actionpool,0.2.2,spox,""
95,ActionPool,0.2.2|0.1.0|0.2.3|0.2.0|0.0.1,spox,""
96,action_profiler,"","",""
97,action_requires,1.0.0|1.0.2,markbates,""
98,actionservice,0.3.0|0.2.99|0.2.102,Leon Breedt,activerecord|actionpack
99,action_sms,0.0.1|0.1.1|0.1.0|0.0.3,David Wilkie,""
100,action_sms_gateways,0.0.4|0.0.6|0.0.7|0.0.3|0.0.2,David Wilkie,""
101,action_throttler,"","",""
102,actiontimer,0.1.1,spox,ActionPool
103,ActionTimer,0.1.0|0.0.1|0.1.1|0.2.1,spox,actionpool|splib
104,action_tree,0.1.0,jbe,backports
105,actionview-data,3.0.0,Stephen Celis,activesupport
106,actionwebservice,0.9.1|0.6.2|0.7.0|0.6.0|0.7.1|1.2.2|0.6.1|1.2.4|0.5.0|1.1.1|1.1.6|1.2.3|0.8.0|1.2.1|1.0.0|1.1.5|1.2.0|1.1.2|1.1.4|0.9.3|1.2.5|1.1.0|0.8.1|1.1.3|0.9.4|0.9.2,Leon Breedt,activerecord|actionpack
107,Active,0.0.9|0.0.26|0.0.18|0.0.4|0.0.7|0.0.17|0.0.31|0.0.24|0.0.23|0.0.29|0.0.2|0.0.12|0.0.22|0.0.28|0.0.34|0.0.30|0.0.25|0.0.1|0.0.8|0.0.14|0.0.21|0.0.27|0.0.5|0.0.11|0.0.6,Jonathan Spooner|Brian Levine,bones
108,active_acl,0.2.0,Gregor Melhorn,rails
109,activeaclplus,0.3.0|0.4.0|0.3.1,Peter Schrammel|Gregor Melhorn,rails
110,activeadmin,0.1.0,Greg Bell,formtastic|will_paginate|inherited_views|meta_search|rails
111,active_api,0.1.0,Jeff Dean,activesupport|nokogiri
112,active_assets,0.2.0.rc3|0.1.0|0.2.4|0.2.0.rc4|0.2.3|0.2.6|0.2.0.rc|0.2.2|0.2.0|0.2.0.rc2|0.2.7|0.2.5,Sam Woodard,chunky_png|rails|css_parser|mini_magick|oily_png|test-unit|ZenTest|rmagick
113,active_bomb,"","",""
114,active_cart,0.0.1|0.0.3|0.0.5|0.0.11|0.0.12|0.0.7|0.0.8|0.0.18|0.0.2|0.0.10|0.0.9|0.0.14|0.0.10.1|0.0.13|0.0.17|0.0.4|0.0.16|0.0.15,Myles Eftos,shoulda|faker|machinist|redgreen|mocha|aasm
115,active-cart,"","",""
116,active_cmis,0.1.1|0.1.0|0.1.2,Joeri Samson,nokogiri
117,active_collection,0.2.3|0.2.5|0.2.4|0.2.6|0.2.0,Martin Emde,rspec
118,active_column,0.0.1|0.1|0.1.1,Michael Wynholds,rspec-rails|yard|rake|wrong|cassandra|activesupport|rails|bluecloth
119,activecouch,"","",""
120,active_device,1.2.0|0.1.0|1.0.0|1.1.0,Shenouda Bertel,""
121,active_diigo,0.0.2,Bagwan Pankaj,rcov|yard|httparty|jeweler|bundler|json|rspec
122,activedirectory,0.9.3|1.0.0,James R. Hunt,ruby-net-ldap
123,ActiveDirectoryForRuby,"","",""
124,activedocument,0.1|0.2.1|0.4.1|0.5|0.3|0.2|0.2.2|0.6|0.4.2,Clark D. Richey|Jr.,nokogiri
125,active_document,0.1.1|0.1.2,Justin Balthrop,activesupport|tuple|bdb
126,active_documentum-0.3.3,"","",""
127,active_documentum,"","",""
128,active_documentum-0.3.2,"","",""
129,active_documentum,"","",""
130,active_enum,0.6.4|0.7.0|0.6.1|0.6.0|0.8.1|0.8.0|0.9.0|0.4.0|0.4.1|0.9.1|0.6.3|0.5.1|0.3.0|0.6.6|0.7.1|0.6.2|0.5.0|0.8.2,Adam Meehan,""
131,ActiveExcel,"","",""
132,active_exchange,0.2.0|0.3.0,pjammer,""
133,activefacts,0.6.0|0.8.6|0.8.9|0.7.2|0.8.8|0.7.0|0.7.3|0.8.5,Clifford Heath,treetop|hoe|newgem
134,active-fedora,1.1.5|1.0.0|1.2.3|1.0.4|1.2.7|1.1.4.pre2|1.1.8|1.2.0|1.2.6|1.0.5|1.1.13|1.0.2|1.2.5|1.1.1|1.1.7|1.1.2|1.1.0|1.2.2|1.2.9|1.1.11|1.2.4|1.2.8|1.1.9|1.1.6|1.2.1|1.1.4,Matt Zumwalt|McClain Looney,xml-simple|mime-types|multipart-post|mocha|ruby-debug|rspec|solr-ruby
135,activeforcast,0.1.1,Nathan Wise,""
136,active_form,0.0.8|0.0.7|0.0.5|0.0.1,Fabien Franzen,""
137,active_forms,"","",""
138,active_fulfillment,1.0.1|1.0.2|0.10.0|1.0.0,Cody Fauser|James MacAulay,activesupport|builder
139,active_graph,0.2.0|0.0.2|0.1.0,Kacper Bielecki,newgem|newgem|hoe|hoe|gruff|metaid|activesupport
140,activegroonga,1.0.0|1.0.3|0.0.7|0.0.1|0.0.6|1.0.1,Kouhei Sutou,activemodel|rroonga
141,active_guards,"","",""
142,active_harmony,"","",""
143,active_hash,0.8.7|0.8.4|0.7.2|0.7.7|0.7.4|0.7.3|0.7.8|0.7.1|0.8.5|0.8.0|0.8.2|0.9.0|0.9.2|0.7.6|0.7.9|0.7.0|0.6.1|0.7.5|0.9.1|0.8.3|0.8.6,Jeff Dean|Mike Dalessio|Corey Innis|Peter Jaros|Brandon Keene|Brian Takita|Pat Nakajima|John Pignata|Michael Schubert|Jeremy Weiskotten|Ryan Garver|Tom Stuart|Joel Chippindale,activesupport
144,active_helper,0.2.1|0.1.0|0.1.1|0.2.2,Nick Sutterer,activesupport
145,active_index,"","",""
146,active-keso,"","",""
147,active_lastfm,1.0.0,Ben Smith,activeresource
148,active_layer,0.0.10,Adam Cooper,activemodel|activesupport
149,activeldap,1.0.0|1.2.0|1.0.9|0.10.0|0.9.0|1.1.0|1.0.2|1.2.1|1.0.1,Will Drewry|Kouhei Sutou,hoe|activerecord
150,active_link_to,0.0.3|0.0.6|0.0.4|0.0.5|0.0.2,Oleg Khabarov,""
151,active_lucene,0.5.0|0.5.1|0.6,Diego Carrion,""
152,active_mac,"","",""
153,active_mailbox,"","",""
154,activemdb,0.2.2|0.1.0|0.2.1,Matthew King,hoe
155,activemerchant,1.9.4|1.0.1|1.3.2|1.4.2|1.7.2|1.9.2|1.6.0|1.5.1|1.7.0|1.10.0|1.5.0|1.8.0|1.4.0|1.9.1|1.3.1|1.3.0|1.2.0|1.0.2|1.1.0|1.2.1|1.4.1|1.7.3|1.7.1|1.0.3|1.9.3|1.0.0,Tobias Luetke,activesupport|builder
156,active_merchant,"","",""
157,activemerchant_banklink,0.0.1,Indrek Juhkam|Laurynas Butkus,""
158,active_merchant_ccavenue,"","",""
159,activemerchant-est,1.4.2.5,Tobias Luetke,activesupport|builder
160,active_merchant_ideal,0.1.2|0.1.0|0.1.3|0.1.6|0.1.4|0.1.5,Soemirno Kartosoewito|Matthijs Kadijk|Aloy Duran|Frank Oxener,activemerchant|mocha
161,active_merchant_mollie,"","",""
162,activemerchant_moneybookers,0.0.2,Jan Riethmayer|Laurynas Butkus,activemerchant
163,active_merchant_ogone,0.2.0,Jan De Poorter|Simon Menke,activemerchant
164,activemerchant_patch_for_china,0.1.5|0.1.1|0.1.3|0.1.4|0.1.0,Richard Huang,activemerchant
165,active_merchant_payline,0.2.3|0.1.2|0.1.1|0.2.0|0.2.10|0.2.9|0.2.12|0.3.0|0.2.5|0.1.0|0.2.1|0.2.6|0.2.8|0.2.14|0.2.13|0.2.4|0.2.11,Ludovic Galabru,thoughtbot-shoulda|builder|activemerchant
166,activemerchant-paymentech-orbital,0.2.1|0.2.0|0.2.2|0.2.3,John Corrigan,activemerchant
167,activemerchant-payway,0.0.2,Matt Lambie|Dan Galipo|Dirk Kelly,activemerchant
168,active_merchant_tranzila,"","",""
169,active_merchant_webpay,0.0.1,Sebastián Gamboa,activemerchant
170,activemessaging,0.6.0|0.7.1,Jon Tirsen|Andrew Kuklewicz|Olle Jonsson|Sylvain Perez|Cliff Moon|Uwe Kubosch,activesupport
171,activemessaging-kestrel-adapter,0.0.1|0.0.3,Douglas A. Seifert,bones|activemessaging|memcache-client
172,activemodel,3.0.1|3.0.4.rc1|3.0.3|3.0.0.beta|3.0.0|3.0.0.beta3|3.0.pre|3.0.0.rc|3.0.0.beta4|3.0.0.rc2|3.0.0.beta2,David Heinemeier Hansson,activesupport
173,activemodel-error,"","",""
174,active_model_listener,0.2.5|0.2.1|0.2.0|0.2.4|0.2.3,Jeff Dean,""
175,active_mongo,0.2.1|0.3.0|0.2.0|0.1.1|0.1.2,Mantas Masalskis,thoughtbot-shoulda
176,active_navigation,0.1.0,Vlad Alive,haml
177,active_nomad,0.2.1|0.0.2|0.1.0|0.2.3|0.3.0|0.0.4|0.2.0|0.0.3,George Ogata,activerecord|rspec
178,activeobject,0.0.4,yalong zhang,lightcloud|json|rufus-tokyo|uuid
179,active_olap,0.0.5|0.0.2|0.0.3,Willem van Bergen,""
180,active_presenter,0.0.6|1.2.1|0.0.1|1.3.0|1.2.0|1.3.1|1.1.2|0.0.2|0.0.3,James Golick & Daniel Haran,""
181,active_presenter_generator,1.0.0,markbates,""
182,active_presenters,1.1.6|1.0.1.3|1.0.1|1.1.4|1.1.0|1.0.1.6|1.0.1.2|1.0.1.1|1.0.1.5|1.0.1.4|1.0.0,markbates,""
183,activequeue,0.0.3|0.2.0|0.1.1|0.1.4|0.1.3|0.0.4|0.1.2|0.0.2|0.0.5|0.1.5|0.1.0|0.0.7|0.0.1|0.0.8|0.0.6,Matthew Jording,""
184,activerdf,1.6.4|1.6.2|1.6.9|1.2.3|1.6.11|1.5|1.6.5|1.0|1.6.6|1.3.1|1.6.8|1.6.10|1.6.3|1.6.1|1.1|1.2.2|1.2.1|1.4|1.3|1.6,Eyal Oren,gem_plugin
185,activerdf_jena,"","",""
186,activerdf_net7,1.6.15|1.6.12|1.7.1|1.6.14|1.7.0|1.6.16|1.6.13|1.7.2,Eyal Oren|The Talia Team,gem_plugin|grit
187,activerdf_rdflite,1.4|1.1|1.2.1|1.2.3|1.4.1|1.2|1.0|1.3,Eyal Oren <eyal.oren@deri.org,gem_plugin|sqlite3-ruby|activerdf|uuidtools
188,activerdf_redland,1.2|1.2.1|1.0|1.2.2,Eyal Oren <eyal.oren@deri.org,gem_plugin|activerdf
189,activerdf_rules,0.0.1,pjstadig,hoe
190,activerdf_sesame,0.2.1|0.2.2|0.2,Benjamin Heitmann <benjamin.heitmann@deri.org>,activerdf|gem_plugin
191,activerdf_sparql,1.3.2|1.3.1|1.3|1.3.6|1.3.4|1.3.5|1.3.3|1.2|1.2.1|1.1,Eyal Oren <eyal.oren@deri.org,gem_plugin|activerdf
192,activerecord,2.3.10|1.14.2|3.0.1|1.9.1|1.12.2|1.15.1|3.0.2|1.15.5|1.15.4|2.3.7|3.0.0.rc2|1.1.0|1.2.0|2.1.1|2.3.4|1.3.0|3.0.0.beta2|2.0.5|2.3.8.pre1|1.5.0|1.8.0|3.0.0|2.3.5|1.13.2|2.3.9.pre|1.15.2|2.2.3|2.0.4|1.0.0|3.0.4.rc1|1.15.6|1.15.3|2.1.0|1.10.0|1.14.4|2.3.9|2.3.6|2.3.3|1.9.0|3.0.0.rc|3.0.3|1.10.1|2.1.2|1.4.0|1.15.0|1.11.1|1.5.1|2.0.1|3.0.0.beta4|2.3.2|1.11.0|2.0.2|3.0.0.beta3|1.14.1|2.3.8|1.14.0|1.13.1|1.7.0|1.6.0|1.14.3|1.12.1|2.0.0|1.13.0|2.2.2,David Heinemeier Hansson,activesupport
193,activerecord-activesalesforce-adapter,"","",""
194,activerecord-adonet-sqlserver,0.3.4|0.3.2,Ivan Porto Carrero,dbd-adonet-sqlserver
195,activerecord-alt-mongo-adapter,"","",""
196,activerecord-amalgalite-adapter,"","",""
197,active_record_attributes_equality,1.0.0.rc.2|1.0.0,Diogo Almeida,activerecord
198,activerecord_authorails,"","",""
199,active_record_base_without_table,0.1.2,Jonathan Viney|Dmitry Ratnikov,""
200,activerecord_cache_store,0.0.5|0.0.2|0.0.1|0.0.4,Tomasz Mazur,activesupport|activerecord
201,activerecord-cassandra-adapter,"","",""
202,active_record_connectionless,"","",""
203,activerecord-dbslayer-adapter,0.3.0|0.2.0,Jacob Harris,""
204,active_record_defaults,"","",""
205,activerecord-draft_records,0.5.0|0.1.0|0.1.1|0.5.1|0.3.0|0.2.0,Rodrigo Kochenburger,database_cleaner|rspec
206,active_record_encoding,"","",""
207,activerecord_execute_raw,0.1.2|0.1.1,mccraig mccraig of the clan mccraig,yard|rspec
208,activerecord-fast-import,0.1.3|0.2.0,Jan Suchal,activerecord|rspec
209,active_record_foreign_keys,"","",""
210,active_record_helpers,"","",""
211,activerecord-import,0.2.3|0.2.2|0.2.0|0.1.0|0.2.1|0.2.5,Zach Dennis,activerecord
212,activerecord-informix-adapter,"","",""
213,activerecord-interbase-adapter,0.2.0|0.1.0,Richard Vowles,""
214,ActiveRecord-JDBC,0.3.1|0.4|0.2.0|0.3|0.2.2|0.2.1|0.2.3|0.2.4|0.0.1,JRuby-extras,""
215,activerecord-jdbc-adapter-1.0.3,"","",""
216,activerecord-jdbc-adapter-1.0.2,"","",""
217,activerecord-jdbc-adapter,"","",""
218,activerecord-jdbc-adapter-1.0.0.beta2,"","",""
219,activerecord-jdbc-adapter,0.8.1,Nick Sieger|Ola Bini and JRuby contributors,""
220,activerecord-jdbc-adapter-0.9.6,"","",""
221,activerecord-jdbc-adapter-0.9.3,"","",""
222,activerecord-jdbc-adapter,1.1.0,Nick Sieger|Ola Bini and JRuby contributors,rubyforge|hoe
223,activerecord-jdbc-adapter-1.0.0,"","",""
224,activerecord-jdbc-adapter-0.9.5,"","",""
225,activerecord-jdbc-adapter,0.7.2|0.7.1,Nick Sieger|Ola Bini and JRuby contributors,""
226,activerecord-jdbc-adapter-1.0.0.beta1,"","",""
227,activerecord-jdbc-adapter-0.9.7,"","",""
228,activerecord-jdbc-adapter,0.9.0.1,Nick Sieger|Ola Bini and JRuby contributors,""
229,activerecord-jdbc-adapter-0.9.4,"","",""
230,activerecord-jdbc-adapter,0.9.1,Nick Sieger|Ola Bini and JRuby contributors,""
231,activerecord-jdbc-adapter-1.0.1,"","",""
232,activerecord-jdbc-adapter,"","",""
233,activerecord-jdbcdbf-adapter-0.9.7.1,"","",""
234,activerecord-jdbcdbf-adapter-0.9.7,"","",""
235,activerecord-jdbcdbf-adapter-0.9.7.2,"","",""
236,activerecord-jdbcderby-adapter,"","",""
237,activerecord-jdbcderby-adapter-0.9.3,"","",""
238,activerecord-jdbcderby-adapter,"","",""
239,activerecord-jdbcderby-adapter-1.0.0.beta2,"","",""
240,activerecord-jdbcderby-adapter,"","",""
241,activerecord-jdbcderby-adapter-0.9.5,"","",""
242,activerecord-jdbcderby-adapter-1.0.2,"","",""
243,activerecord-jdbcderby-adapter-1.0.1,"","",""
244,activerecord-jdbcderby-adapter,0.8,Nick Sieger|Ola Bini and JRuby contributors,jdbc-derby|activerecord-jdbc-adapter
245,activerecord-jdbcderby-adapter-0.9.7,"","",""
246,activerecord-jdbcderby-adapter-1.0.3,"","",""
247,activerecord-jdbcderby-adapter-1.0.0,"","",""
248,activerecord-jdbcderby-adapter-0.9.6,"","",""
249,activerecord-jdbcderby-adapter,"","",""
250,activerecord-jdbcderby-adapter-0.9.4,"","",""
251,activerecord-jdbcderby-adapter,0.7.2|0.9.1|0.7.1|0.9.0.1,Nick Sieger|Ola Bini and JRuby contributors,jdbc-derby|activerecord-jdbc-adapter
252,activerecord-jdbcderby-adapter-1.0.0.beta1,"","",""
253,activerecord-jdbcderby-adapter,1.1.0,Nick Sieger|Ola Bini and JRuby contributors,rubyforge|jdbc-derby|hoe|activerecord-jdbc-adapter
254,activerecord-jdbch2-adapter,"","",""
255,activerecord-jdbch2-adapter-0.9.3,"","",""
256,activerecord-jdbch2-adapter,"","",""
257,activerecord-jdbch2-adapter-1.0.2,"","",""
258,activerecord-jdbch2-adapter-1.0.0.beta1,"","",""
259,activerecord-jdbch2-adapter-1.0.3,"","",""
260,activerecord-jdbch2-adapter-0.9.7,"","",""
261,activerecord-jdbch2-adapter-0.9.6,"","",""
262,activerecord-jdbch2-adapter,"","",""
263,activerecord-jdbch2-adapter-1.0.0.beta2,"","",""
264,activerecord-jdbch2-adapter,0.7.1,Nick Sieger|Ola Bini and JRuby contributors,jdbc-h2|activerecord-jdbc-adapter
265,activerecord-jdbch2-adapter-1.0.0,"","",""
266,activerecord-jdbch2-adapter,0.8,Nick Sieger|Ola Bini and JRuby contributors,jdbc-h2|activerecord-jdbc-adapter
267,activerecord-jdbch2-adapter-0.9.5,"","",""
268,activerecord-jdbch2-adapter,0.9.1|0.9|0.8.2,Nick Sieger|Ola Bini and JRuby contributors,activerecord-jdbc-adapter|jdbc-h2
269,activerecord-jdbch2-adapter-1.0.1,"","",""
270,activerecord-jdbch2-adapter,"","",""
271,activerecord-jdbch2-adapter-0.9.4,"","",""
272,activerecord-jdbchsqldb-adapter-1.0.3,"","",""
273,activerecord-jdbchsqldb-adapter,"","",""
274,activerecord-jdbchsqldb-adapter-0.9.4,"","",""
275,activerecord-jdbchsqldb-adapter-1.0.2,"","",""
276,activerecord-jdbchsqldb-adapter-1.0.0.beta2,"","",""
277,activerecord-jdbchsqldb-adapter-1.0.1,"","",""
278,activerecord-jdbchsqldb-adapter,"","",""
279,activerecord-jdbchsqldb-adapter-1.0.0.beta1,"","",""
280,activerecord-jdbchsqldb-adapter,"","",""
281,activerecord-jdbchsqldb-adapter-0.9.7,"","",""
282,activerecord-jdbchsqldb-adapter,"","",""
283,activerecord-jdbchsqldb-adapter-0.9.3,"","",""
284,activerecord-jdbchsqldb-adapter-1.0.0,"","",""
285,activerecord-jdbchsqldb-adapter,0.7.2|0.9.1|0.6,Nick Sieger|Ola Bini and JRuby contributors,activerecord-jdbc-adapter|jdbc-hsqldb
286,activerecord-jdbchsqldb-adapter-0.9.5,"","",""
287,activerecord-jdbchsqldb-adapter-0.9.6,"","",""
288,activerecord-jdbchsqldb-adapter,1.1.1|0.8.1|0.8|0.7,Nick Sieger|Ola Bini and JRuby contributors,jdbc-hsqldb|activerecord-jdbc-adapter
289,activerecord-jdbcmssql-adapter-1.0.2,"","",""
290,activerecord-jdbcmssql-adapter-0.9.5,"","",""
291,activerecord-jdbcmssql-adapter-1.0.0,"","",""
292,activerecord-jdbcmssql-adapter-1.0.1,"","",""
293,activerecord-jdbcmssql-adapter-0.9.6,"","",""
294,activerecord-jdbcmssql-adapter-1.0.0.beta2,"","",""
295,activerecord-jdbcmssql-adapter-0.9.7,"","",""
296,activerecord-jdbcmssql-adapter,"","",""
297,activerecord-jdbcmssql-adapter-1.0.3,"","",""
298,activerecord-jdbcmssql-adapter,"","",""
299,activerecord-jdbcmssql-adapter-1.0.0.beta1,"","",""
300,activerecord-jdbcmysql-adapter,0.8|0.7,Nick Sieger|Ola Bini and JRuby contributors,activerecord-jdbc-adapter|jdbc-mysql
301,activerecord-jdbcmysql-adapter-0.9.5,"","",""
302,activerecord-jdbcmysql-adapter,"","",""
303,activerecord-jdbcmysql-adapter-1.0.3,"","",""
304,activerecord-jdbcmysql-adapter,0.9|0.9.1,Nick Sieger|Ola Bini and JRuby contributors,activerecord-jdbc-adapter|jdbc-mysql
305,activerecord-jdbcmysql-adapter-0.9.6,"","",""
306,activerecord-jdbcmysql-adapter-0.9.7,"","",""
307,activerecord-jdbcmysql-adapter,"","",""
308,activerecord-jdbcmysql-adapter-0.9.4,"","",""
